Datum;Uhrzeit;Generation_DE G[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE A[MW];Generation_DE B[MW];Generation_DE D[MW];Generation_DE E[MW]
19.01.2020;19:00;1.044;-;1.060;285;0;0;606
19.01.2020;20:00;1.044;-;1.062;285;0;0;608
19.01.2020;21:00;1.043;-;1.060;285;0;0;607
19.01.2020;22:00;1.045;-;1.060;285;0;0;607
19.01.2020;23:00;1.041;-;1.062;283;0;0;600
20.01.2020;00:00;1.046;-;1.061;281;0;0;565
20.01.2020;01:00;1.045;-;1.060;280;0;0;586
20.01.2020;02:00;1.048;-;1.065;277;0;0;590
20.01.2020;03:00;1.044;-;1.062;192;38;0;381
20.01.2020;04:00;1.042;-;1.036;160;161;0;287
20.01.2020;05:00;1.049;-;1.059;239;181;0;442
20.01.2020;06:00;1.045;-;1.063;289;250;0;602
20.01.2020;07:00;1.044;-;1.067;291;286;0;618
20.01.2020;08:00;1.046;-;1.064;288;288;0;619
20.01.2020;09:00;1.047;-;1.058;286;289;0;617
20.01.2020;10:00;1.046;-;1.059;285;289;0;612
20.01.2020;11:00;1.047;-;1.056;287;288;0;612
20.01.2020;12:00;1.044;-;1.046;287;288;0;613
20.01.2020;13:00;1.052;-;1.055;286;289;0;613
20.01.2020;14:00;1.046;-;1.057;286;288;0;611
20.01.2020;15:00;1.050;-;1.053;286;289;0;611
20.01.2020;16:00;1.052;-;1.057;287;289;0;612
20.01.2020;17:00;1.049;-;1.049;288;292;0;618
20.01.2020;18:00;1.053;-;1.049;289;294;0;622
20.01.2020;19:00;1.053;-;1.056;293;294;0;617
20.01.2020;20:00;1.053;-;1.048;292;292;0;617
20.01.2020;21:00;1.051;-;1.054;293;295;0;617
20.01.2020;22:00;1.053;-;1.056;294;297;0;617
20.01.2020;23:00;1.053;-;1.052;290;294;0;611
21.01.2020;00:00;1.050;-;1.053;288;166;0;611
21.01.2020;01:00;1.053;-;1.047;292;144;0;613
21.01.2020;02:00;1.049;-;1.042;289;144;0;613
