Datum;Uhrzeit;Generation_DE R[MW];Generation_DE Q[MW];Generation_DE P[MW];Generation_DE N[MW]
20.01.2020;15:00;551;0;212;502
20.01.2020;16:00;557;0;213;501
20.01.2020;17:00;551;0;213;501
20.01.2020;18:00;537;0;211;501
20.01.2020;19:00;539;0;213;501
20.01.2020;20:00;543;0;213;495
20.01.2020;21:00;548;0;209;499
20.01.2020;22:00;541;0;208;499
20.01.2020;23:00;549;0;209;500
21.01.2020;00:00;541;0;209;498
21.01.2020;01:00;543;0;208;501
21.01.2020;02:00;549;0;208;501
21.01.2020;03:00;543;0;209;501
21.01.2020;04:00;542;0;210;500
21.01.2020;05:00;555;0;212;500
21.01.2020;06:00;565;0;209;500
21.01.2020;07:00;565;0;208;501
21.01.2020;08:00;570;0;208;500
21.01.2020;09:00;582;0;210;500
21.01.2020;10:00;579;0;210;501
21.01.2020;11:00;573;0;210;501
21.01.2020;12:00;567;0;209;502
21.01.2020;13:00;559;0;205;503
21.01.2020;14:00;555;0;201;499
21.01.2020;15:00;535;0;200;501
21.01.2020;16:00;541;0;190;502
21.01.2020;17:00;535;0;203;502
21.01.2020;18:00;539;0;205;504
21.01.2020;19:00;533;0;190;502
21.01.2020;20:00;542;0;189;498
21.01.2020;21:00;559;0;395;502
21.01.2020;22:00;558;0;432;500
21.01.2020;23:00;550;0;485;501
22.01.2020;00:00;549;0;495;501
22.01.2020;01:00;557;0;498;502
22.01.2020;02:00;544;0;496;501
22.01.2020;03:00;546;0;498;502
22.01.2020;04:00;549;0;492;501
22.01.2020;05:00;554;0;496;502
22.01.2020;06:00;555;0;495;499
22.01.2020;07:00;562;0;499;501
22.01.2020;08:00;564;0;496;500
22.01.2020;09:00;559;0;497;500
22.01.2020;10:00;562;0;498;500
22.01.2020;11:00;565;0;497;500
22.01.2020;12:00;559;0;495;498
22.01.2020;13:00;558;0;497;500
22.01.2020;14:00;528;0;495;497
22.01.2020;15:00;539;0;497;498
22.01.2020;16:00;538;0;491;499
22.01.2020;17:00;529;0;492;499
22.01.2020;18:00;548;0;492;501
22.01.2020;19:00;547;0;493;501
22.01.2020;20:00;555;0;495;501
22.01.2020;21:00;559;0;496;502
22.01.2020;22:00;561;0;495;501
22.01.2020;23:00;562;0;492;502
23.01.2020;00:00;562;0;493;503
23.01.2020;01:00;570;0;495;501
23.01.2020;02:00;567;0;494;501
23.01.2020;03:00;560;0;493;501
23.01.2020;04:00;566;0;494;500
23.01.2020;05:00;572;0;498;500
23.01.2020;06:00;575;0;493;500
23.01.2020;07:00;575;0;480;499
23.01.2020;08:00;577;0;493;500
23.01.2020;09:00;583;0;493;500
23.01.2020;10:00;582;0;492;501
23.01.2020;11:00;578;0;496;500
23.01.2020;12:00;574;0;495;501
23.01.2020;13:00;578;0;487;499
23.01.2020;14:00;571;0;493;500
23.01.2020;15:00;561;0;498;501
23.01.2020;16:00;557;0;498;500
23.01.2020;17:00;562;0;497;500
23.01.2020;18:00;556;0;497;501
23.01.2020;19:00;556;0;498;501
23.01.2020;20:00;559;0;495;500
