Datum;Uhrzeit;Generation_DE GUD C 200
GT 1, GT 2, DT 1[MW]
11.02.2020;18:00;139
11.02.2020;19:00;141
11.02.2020;20:00;137
11.02.2020;21:00;133
11.02.2020;22:00;132
11.02.2020;23:00;131
12.02.2020;00:00;133
12.02.2020;01:00;138
12.02.2020;02:00;144
12.02.2020;03:00;142
12.02.2020;04:00;141
12.02.2020;05:00;142
12.02.2020;06:00;144
12.02.2020;07:00;146
12.02.2020;08:00;151
12.02.2020;09:00;123
12.02.2020;10:00;128
12.02.2020;11:00;126
12.02.2020;12:00;134
12.02.2020;13:00;146
12.02.2020;14:00;140
12.02.2020;15:00;144
12.02.2020;16:00;141
12.02.2020;17:00;159
12.02.2020;18:00;160
12.02.2020;19:00;160
12.02.2020;20:00;149
12.02.2020;21:00;146
12.02.2020;22:00;144
12.02.2020;23:00;141
13.02.2020;00:00;142
13.02.2020;01:00;146
13.02.2020;02:00;140
13.02.2020;03:00;141
13.02.2020;04:00;133
13.02.2020;05:00;134
13.02.2020;06:00;146
13.02.2020;07:00;156
13.02.2020;08:00;155
13.02.2020;09:00;155
13.02.2020;10:00;172
13.02.2020;11:00;167
13.02.2020;12:00;167
13.02.2020;13:00;163
13.02.2020;14:00;163
13.02.2020;15:00;169
13.02.2020;16:00;171
13.02.2020;17:00;164
13.02.2020;18:00;169
13.02.2020;19:00;167
13.02.2020;20:00;168
13.02.2020;21:00;165
13.02.2020;22:00;164
13.02.2020;23:00;164
