Datum;Uhrzeit;Generation_DE Gas-und-Dampfturbinen Mitte[MW]
08.02.2020;19:00;372
08.02.2020;20:00;372
08.02.2020;21:00;372
08.02.2020;22:00;313
08.02.2020;23:00;304
09.02.2020;00:00;276
09.02.2020;01:00;254
09.02.2020;02:00;149
09.02.2020;03:00;134
09.02.2020;04:00;130
09.02.2020;05:00;131
09.02.2020;06:00;114
09.02.2020;07:00;109
09.02.2020;08:00;109
09.02.2020;09:00;108
09.02.2020;10:00;109
09.02.2020;11:00;108
09.02.2020;12:00;109
09.02.2020;13:00;108
09.02.2020;14:00;109
09.02.2020;15:00;108
09.02.2020;16:00;108
09.02.2020;17:00;108
09.02.2020;18:00;109
09.02.2020;19:00;108
09.02.2020;20:00;108
09.02.2020;21:00;109
09.02.2020;22:00;109
09.02.2020;23:00;109
10.02.2020;00:00;110
10.02.2020;01:00;110
10.02.2020;02:00;110
10.02.2020;03:00;109
10.02.2020;04:00;109
10.02.2020;05:00;127
10.02.2020;06:00;253
10.02.2020;07:00;360
10.02.2020;08:00;424
10.02.2020;09:00;422
10.02.2020;10:00;407
10.02.2020;11:00;407
10.02.2020;12:00;407
10.02.2020;13:00;407
10.02.2020;14:00;407
10.02.2020;15:00;406
10.02.2020;16:00;406
10.02.2020;17:00;425
10.02.2020;18:00;426
10.02.2020;19:00;426
10.02.2020;20:00;426
10.02.2020;21:00;423
10.02.2020;22:00;352
10.02.2020;23:00;217
11.02.2020;00:00;122
11.02.2020;01:00;117
11.02.2020;02:00;112
11.02.2020;03:00;124
11.02.2020;04:00;130
11.02.2020;05:00;236
11.02.2020;06:00;309
11.02.2020;07:00;426
11.02.2020;08:00;437
11.02.2020;09:00;437
11.02.2020;10:00;436
11.02.2020;11:00;435
11.02.2020;12:00;433
11.02.2020;13:00;392
11.02.2020;14:00;382
11.02.2020;15:00;382
11.02.2020;16:00;382
11.02.2020;17:00;420
11.02.2020;18:00;431
11.02.2020;19:00;431
11.02.2020;20:00;426
11.02.2020;21:00;335
11.02.2020;22:00;220
11.02.2020;23:00;206
12.02.2020;00:00;203
12.02.2020;01:00;156
12.02.2020;02:00;161
12.02.2020;03:00;161
12.02.2020;04:00;163
12.02.2020;05:00;304
12.02.2020;06:00;421
12.02.2020;07:00;421
12.02.2020;08:00;421
12.02.2020;09:00;421
12.02.2020;10:00;421
12.02.2020;11:00;421
12.02.2020;12:00;363
12.02.2020;13:00;334
12.02.2020;14:00;374
12.02.2020;15:00;418
