Datum;Uhrzeit;Generation_DE Block 3[MW];Generation_DE Block 4[MW];Generation_DE Block 5[MW]
24.01.2020;15:00;-;62;213
24.01.2020;16:00;-;81;213
24.01.2020;17:00;-;81;215
24.01.2020;18:00;-;82;215
24.01.2020;19:00;-;83;215
24.01.2020;20:00;-;81;215
24.01.2020;21:00;-;80;211
24.01.2020;22:00;-;79;204
24.01.2020;23:00;-;80;211
25.01.2020;00:00;-;82;210
25.01.2020;01:00;-;66;201
25.01.2020;02:00;-;63;200
25.01.2020;03:00;-;50;181
25.01.2020;04:00;-;65;183
25.01.2020;05:00;-;61;191
25.01.2020;06:00;-;47;191
25.01.2020;07:00;-;61;202
25.01.2020;08:00;-;54;183
25.01.2020;09:00;-;56;184
25.01.2020;10:00;-;64;188
25.01.2020;11:00;-;48;171
25.01.2020;12:00;-;45;159
25.01.2020;13:00;-;62;182
25.01.2020;14:00;-;55;187
25.01.2020;15:00;-;48;190
25.01.2020;16:00;-;43;195
25.01.2020;17:00;-;40;180
25.01.2020;18:00;-;45;176
25.01.2020;19:00;-;66;212
25.01.2020;20:00;-;39;160
25.01.2020;21:00;-;40;141
25.01.2020;22:00;-;46;164
25.01.2020;23:00;-;45;166
26.01.2020;00:00;-;43;179
26.01.2020;01:00;-;47;172
26.01.2020;02:00;-;45;176
26.01.2020;03:00;-;52;182
26.01.2020;04:00;-;62;182
26.01.2020;05:00;-;47;167
26.01.2020;06:00;-;66;165
26.01.2020;07:00;-;60;185
26.01.2020;08:00;-;58;182
26.01.2020;09:00;-;56;210
26.01.2020;10:00;-;52;201
26.01.2020;11:00;-;51;200
26.01.2020;12:00;-;60;211
26.01.2020;13:00;-;56;212
26.01.2020;14:00;-;63;208
26.01.2020;15:00;-;83;211
26.01.2020;16:00;-;84;206
26.01.2020;17:00;-;83;209
26.01.2020;18:00;-;81;209
26.01.2020;19:00;-;78;210
26.01.2020;20:00;-;72;194
26.01.2020;21:00;-;79;213
26.01.2020;22:00;-;74;190
26.01.2020;23:00;-;71;199
27.01.2020;00:00;-;80;183
27.01.2020;01:00;-;80;197
27.01.2020;02:00;-;71;209
27.01.2020;03:00;-;58;198
27.01.2020;04:00;-;81;213
27.01.2020;05:00;-;72;206
27.01.2020;06:00;-;49;201
27.01.2020;07:00;-;66;206
27.01.2020;08:00;-;84;206
27.01.2020;09:00;-;68;193
27.01.2020;10:00;-;84;213
27.01.2020;11:00;-;88;214
27.01.2020;12:00;-;90;214
27.01.2020;13:00;-;85;212
27.01.2020;14:00;-;80;205
27.01.2020;15:00;-;85;206
27.01.2020;16:00;-;88;208
27.01.2020;17:00;-;86;206
27.01.2020;18:00;-;62;174
27.01.2020;19:00;-;51;149
