Datum;Uhrzeit;Generation_DE B[MW];Generation_DE C[MW];Generation_DE F[MW];Generation_DE E[MW];Generation_DE D[MW]
23.01.2020;16:00;280;280;-;-;-
23.01.2020;17:00;280;280;-;-;-
23.01.2020;18:00;280;281;-;-;-
23.01.2020;19:00;279;281;-;-;-
23.01.2020;20:00;256;269;-;-;-
23.01.2020;21:00;226;210;-;-;-
23.01.2020;22:00;225;200;-;-;-
23.01.2020;23:00;226;198;-;-;-
24.01.2020;00:00;224;199;-;-;-
24.01.2020;01:00;224;198;-;-;-
24.01.2020;02:00;223;198;-;-;-
24.01.2020;03:00;208;190;-;-;-
24.01.2020;04:00;222;189;-;-;-
24.01.2020;05:00;243;190;-;-;-
24.01.2020;06:00;242;214;-;-;-
24.01.2020;07:00;279;275;-;-;-
24.01.2020;08:00;281;292;-;-;-
24.01.2020;09:00;282;291;-;-;-
24.01.2020;10:00;288;291;-;-;-
24.01.2020;11:00;289;290;-;-;-
24.01.2020;12:00;289;291;-;-;-
24.01.2020;13:00;288;290;-;-;-
24.01.2020;14:00;289;292;-;-;-
24.01.2020;15:00;289;291;-;-;-
24.01.2020;16:00;288;291;-;-;-
24.01.2020;17:00;289;290;-;-;-
24.01.2020;18:00;289;291;-;-;-
24.01.2020;19:00;290;281;-;-;-
24.01.2020;20:00;278;242;-;-;-
24.01.2020;21:00;227;235;-;-;-
24.01.2020;22:00;224;225;-;-;-
24.01.2020;23:00;225;224;-;-;-
25.01.2020;00:00;223;167;-;-;-
25.01.2020;01:00;175;147;-;-;-
25.01.2020;02:00;176;147;-;-;-
25.01.2020;03:00;176;147;-;-;-
25.01.2020;04:00;176;147;-;-;-
25.01.2020;05:00;209;173;-;-;-
25.01.2020;06:00;205;177;-;-;-
25.01.2020;07:00;205;176;-;-;-
25.01.2020;08:00;204;189;-;-;-
25.01.2020;09:00;205;197;-;-;-
25.01.2020;10:00;205;202;-;-;-
25.01.2020;11:00;204;205;-;-;-
25.01.2020;12:00;206;206;-;-;-
25.01.2020;13:00;214;197;-;-;-
25.01.2020;14:00;243;167;-;-;-
25.01.2020;15:00;243;167;-;-;-
25.01.2020;16:00;242;168;-;-;-
25.01.2020;17:00;244;168;-;-;-
25.01.2020;18:00;242;167;-;-;-
25.01.2020;19:00;242;166;-;-;-
25.01.2020;20:00;244;167;-;-;-
25.01.2020;21:00;243;161;-;-;-
25.01.2020;22:00;186;148;-;-;-
25.01.2020;23:00;177;147;-;-;-
26.01.2020;00:00;173;191;-;-;-
26.01.2020;01:00;166;148;-;-;-
26.01.2020;02:00;186;148;-;-;-
26.01.2020;03:00;204;145;-;-;-
26.01.2020;04:00;205;142;-;-;-
26.01.2020;05:00;205;140;-;-;-
26.01.2020;06:00;204;172;-;-;-
26.01.2020;07:00;207;175;-;-;-
26.01.2020;08:00;206;179;-;-;-
26.01.2020;09:00;228;216;-;-;-
26.01.2020;10:00;243;205;-;-;-
26.01.2020;11:00;243;203;-;-;-
26.01.2020;12:00;244;205;-;-;-
26.01.2020;13:00;243;208;-;-;-
26.01.2020;14:00;242;207;-;-;-
26.01.2020;15:00;243;206;-;-;-
26.01.2020;16:00;243;206;-;-;-
26.01.2020;17:00;243;206;-;-;-
26.01.2020;18:00;242;205;-;-;-
26.01.2020;19:00;243;205;-;-;-
26.01.2020;20:00;243;207;-;-;-
26.01.2020;21:00;244;205;-;-;-
26.01.2020;22:00;243;206;-;-;-
26.01.2020;23:00;215;186;-;-;-
27.01.2020;00:00;204;178;-;-;-
27.01.2020;01:00;201;163;-;-;-
27.01.2020;02:00;147;141;-;-;-
27.01.2020;03:00;199;137;-;-;-
27.01.2020;04:00;204;137;-;-;-
27.01.2020;05:00;204;154;-;-;-
27.01.2020;06:00;219;209;-;-;-
27.01.2020;07:00;225;216;-;-;-
27.01.2020;08:00;224;217;-;-;-
27.01.2020;09:00;223;215;-;-;-
27.01.2020;10:00;223;214;-;-;-
27.01.2020;11:00;223;215;-;-;-
27.01.2020;12:00;224;214;-;-;-
27.01.2020;13:00;225;216;-;-;-
27.01.2020;14:00;242;222;-;-;-
27.01.2020;15:00;242;227;-;-;-
27.01.2020;16:00;243;227;-;-;-
27.01.2020;17:00;241;224;-;-;-
27.01.2020;18:00;244;225;-;-;-
27.01.2020;19:00;242;225;-;-;-
27.01.2020;20:00;242;225;-;-;-
27.01.2020;21:00;243;226;-;-;-
27.01.2020;22:00;208;167;-;-;-
