Datum,Uhrzeit,Gesamt[MWh]
10.01.2020,15:00,16702
10.01.2020,15:15,16557
10.01.2020,15:30,16500
10.01.2020,15:45,16573
10.01.2020,16:00,16667
10.01.2020,16:15,16737
10.01.2020,16:30,16945
10.01.2020,16:45,17105
10.01.2020,17:00,17471
10.01.2020,17:15,17552
10.01.2020,17:30,17502
10.01.2020,17:45,17402
10.01.2020,18:00,17131
10.01.2020,18:15,17056
10.01.2020,18:30,16956
10.01.2020,18:45,16997
10.01.2020,19:00,16877
10.01.2020,19:15,16610
10.01.2020,19:30,16424
10.01.2020,19:45,16407
10.01.2020,20:00,16157
10.01.2020,20:15,15833
10.01.2020,20:30,15540
10.01.2020,20:45,15285
10.01.2020,21:00,15112
10.01.2020,21:15,14958
10.01.2020,21:30,14678
10.01.2020,21:45,14506
10.01.2020,22:00,14441
10.01.2020,22:15,14253
10.01.2020,22:30,14021
10.01.2020,22:45,13717
10.01.2020,23:00,13467
10.01.2020,23:15,13358
10.01.2020,23:30,13172
10.01.2020,23:45,12866
11.01.2020,00:00,12591
11.01.2020,00:15,12409
11.01.2020,00:30,12325
11.01.2020,00:45,12115
11.01.2020,01:00,11970
11.01.2020,01:15,11840
11.01.2020,01:30,11759
11.01.2020,01:45,11741
11.01.2020,02:00,11740
11.01.2020,02:15,11716
11.01.2020,02:30,11644
11.01.2020,02:45,11598
11.01.2020,03:00,11745
11.01.2020,03:15,11716
11.01.2020,03:30,11690
11.01.2020,03:45,11693
11.01.2020,04:00,11779
11.01.2020,04:15,11785
11.01.2020,04:30,11782
11.01.2020,04:45,11735
11.01.2020,05:00,11652
11.01.2020,05:15,11509
11.01.2020,05:30,11491
11.01.2020,05:45,11491
11.01.2020,06:00,11630
11.01.2020,06:15,11697
11.01.2020,06:30,11894
11.01.2020,06:45,12118
11.01.2020,07:00,12333
11.01.2020,07:15,12463
