Datum,Uhrzeit,Generation_DE Iffezheim M10M5[MW]
09.02.2020,17:00,37
09.02.2020,18:00,37
09.02.2020,19:00,37
09.02.2020,20:00,37
09.02.2020,21:00,37
09.02.2020,22:00,37
09.02.2020,23:00,37
10.02.2020,00:00,37
10.02.2020,01:00,37
10.02.2020,02:00,37
10.02.2020,03:00,37
10.02.2020,04:00,37
10.02.2020,05:00,92
10.02.2020,06:00,105
10.02.2020,07:00,107
10.02.2020,08:00,107
10.02.2020,09:00,108
10.02.2020,10:00,109
10.02.2020,11:00,109
10.02.2020,12:00,110
10.02.2020,13:00,109
10.02.2020,14:00,107
10.02.2020,15:00,108
10.02.2020,16:00,109
10.02.2020,17:00,109
10.02.2020,18:00,110
10.02.2020,19:00,110
10.02.2020,20:00,109
10.02.2020,21:00,109
10.02.2020,22:00,107
10.02.2020,23:00,107
11.02.2020,00:00,107
11.02.2020,01:00,107
11.02.2020,02:00,107
11.02.2020,03:00,106
11.02.2020,04:00,106
11.02.2020,05:00,106
11.02.2020,06:00,106
11.02.2020,07:00,108
11.02.2020,08:00,108
11.02.2020,09:00,107
11.02.2020,10:00,109
11.02.2020,11:00,109
11.02.2020,12:00,110
11.02.2020,13:00,109
11.02.2020,14:00,109
11.02.2020,15:00,108
11.02.2020,16:00,108
11.02.2020,17:00,107
11.02.2020,18:00,106
11.02.2020,19:00,108
11.02.2020,20:00,108
11.02.2020,21:00,109
11.02.2020,22:00,109
11.02.2020,23:00,107
12.02.2020,00:00,107
12.02.2020,01:00,106
12.02.2020,02:00,106
12.02.2020,03:00,104
12.02.2020,04:00,104
12.02.2020,05:00,105
12.02.2020,06:00,106
12.02.2020,07:00,107
12.02.2020,08:00,107
12.02.2020,09:00,106
12.02.2020,10:00,106
12.02.2020,11:00,107
12.02.2020,12:00,107
12.02.2020,13:00,107
12.02.2020,14:00,107
12.02.2020,15:00,106
12.02.2020,16:00,106
12.02.2020,17:00,107
12.02.2020,18:00,107
12.02.2020,19:00,108
12.02.2020,20:00,108
12.02.2020,21:00,108
12.02.2020,22:00,107
12.02.2020,23:00,107
13.02.2020,00:00,107
13.02.2020,01:00,107
13.02.2020,02:00,107
13.02.2020,03:00,109
13.02.2020,04:00,109
13.02.2020,05:00,109
13.02.2020,06:00,109
13.02.2020,07:00,108
13.02.2020,08:00,108
13.02.2020,09:00,108
13.02.2020,10:00,107
13.02.2020,11:00,108
13.02.2020,12:00,109
13.02.2020,13:00,109
13.02.2020,14:00,109
13.02.2020,15:00,109
13.02.2020,16:00,109
13.02.2020,17:00,109
13.02.2020,18:00,109
13.02.2020,19:00,109
13.02.2020,20:00,109
13.02.2020,21:00,109
13.02.2020,22:00,109
13.02.2020,23:00,108
14.02.2020,00:00,108
14.02.2020,01:00,108
14.02.2020,02:00,108
14.02.2020,03:00,107
14.02.2020,04:00,105
