Datum,Uhrzeit,Generation_DE Heizkraftwerk Dresden0Nossener Brücke 
(3 GT + 1 DT, Sammelschiene)[MW]
06.02.2020,00:00,254
06.02.2020,01:00,254
06.02.2020,02:00,253
06.02.2020,03:00,253
06.02.2020,04:00,253
06.02.2020,05:00,252
06.02.2020,06:00,253
06.02.2020,07:00,252
06.02.2020,08:00,252
06.02.2020,09:00,252
06.02.2020,10:00,251
06.02.2020,11:00,252
06.02.2020,12:00,252
06.02.2020,13:00,252
06.02.2020,14:00,251
06.02.2020,15:00,251
06.02.2020,16:00,251
06.02.2020,17:00,250
06.02.2020,18:00,251
06.02.2020,19:00,252
06.02.2020,20:00,252
06.02.2020,21:00,252
06.02.2020,22:00,251
06.02.2020,23:00,251
07.02.2020,00:00,251
07.02.2020,01:00,251
07.02.2020,02:00,251
07.02.2020,03:00,251
07.02.2020,04:00,252
07.02.2020,05:00,252
07.02.2020,06:00,252
07.02.2020,07:00,252
07.02.2020,08:00,252
07.02.2020,09:00,252
07.02.2020,10:00,251
07.02.2020,11:00,251
07.02.2020,12:00,252
07.02.2020,13:00,251
07.02.2020,14:00,251
07.02.2020,15:00,251
07.02.2020,16:00,251
07.02.2020,17:00,251
07.02.2020,18:00,251
07.02.2020,19:00,251
07.02.2020,20:00,251
07.02.2020,21:00,252
07.02.2020,22:00,252
07.02.2020,23:00,253
08.02.2020,00:00,253
08.02.2020,01:00,253
08.02.2020,02:00,253
08.02.2020,03:00,254
08.02.2020,04:00,254
08.02.2020,05:00,254
08.02.2020,06:00,254
08.02.2020,07:00,254
08.02.2020,08:00,253
08.02.2020,09:00,252
08.02.2020,10:00,233
08.02.2020,11:00,213
08.02.2020,12:00,250
08.02.2020,13:00,251
08.02.2020,14:00,250
08.02.2020,15:00,250
08.02.2020,16:00,251
08.02.2020,17:00,252
08.02.2020,18:00,252
08.02.2020,19:00,253
08.02.2020,20:00,252
08.02.2020,21:00,253
08.02.2020,22:00,253
08.02.2020,23:00,252
09.02.2020,00:00,233
09.02.2020,01:00,163
09.02.2020,02:00,152
09.02.2020,03:00,152
09.02.2020,04:00,152
09.02.2020,05:00,152
09.02.2020,06:00,152
09.02.2020,07:00,152
09.02.2020,08:00,149
09.02.2020,09:00,87
09.02.2020,10:00,87
09.02.2020,11:00,86
09.02.2020,12:00,88
09.02.2020,13:00,88
09.02.2020,14:00,88
09.02.2020,15:00,88
09.02.2020,16:00,88
09.02.2020,17:00,88
09.02.2020,18:00,88
09.02.2020,19:00,93
09.02.2020,20:00,88
09.02.2020,21:00,86
09.02.2020,22:00,86
09.02.2020,23:00,86
10.02.2020,00:00,87
10.02.2020,01:00,87
10.02.2020,02:00,87
10.02.2020,03:00,87
10.02.2020,04:00,87
10.02.2020,05:00,109
10.02.2020,06:00,163
10.02.2020,07:00,198
10.02.2020,08:00,210
10.02.2020,09:00,215
10.02.2020,10:00,232
10.02.2020,11:00,236
10.02.2020,12:00,239
10.02.2020,13:00,235
10.02.2020,14:00,238
10.02.2020,15:00,239
10.02.2020,16:00,238
10.02.2020,17:00,241
10.02.2020,18:00,243
10.02.2020,19:00,242
10.02.2020,20:00,242
10.02.2020,21:00,230
10.02.2020,22:00,211
10.02.2020,23:00,143
11.02.2020,00:00,136
11.02.2020,01:00,137
11.02.2020,02:00,137
11.02.2020,03:00,137
11.02.2020,04:00,136
11.02.2020,05:00,136
11.02.2020,06:00,154
11.02.2020,07:00,241
11.02.2020,08:00,245
11.02.2020,09:00,244
11.02.2020,10:00,245
11.02.2020,11:00,244
11.02.2020,12:00,243
11.02.2020,13:00,243
11.02.2020,14:00,243
11.02.2020,15:00,244
11.02.2020,16:00,246
11.02.2020,17:00,246
11.02.2020,18:00,247
11.02.2020,19:00,246
11.02.2020,20:00,246
11.02.2020,21:00,195
11.02.2020,22:00,150
11.02.2020,23:00,142
12.02.2020,00:00,143
12.02.2020,01:00,143
12.02.2020,02:00,143
12.02.2020,03:00,143
12.02.2020,04:00,143
12.02.2020,05:00,170
12.02.2020,06:00,245
12.02.2020,07:00,248
12.02.2020,08:00,247
12.02.2020,09:00,247
12.02.2020,10:00,248
12.02.2020,11:00,246
12.02.2020,12:00,246
12.02.2020,13:00,247
12.02.2020,14:00,246
12.02.2020,15:00,246
12.02.2020,16:00,246
12.02.2020,17:00,248
12.02.2020,18:00,247
12.02.2020,19:00,248
12.02.2020,20:00,248
12.02.2020,21:00,248
12.02.2020,22:00,247
12.02.2020,23:00,249
13.02.2020,00:00,249
13.02.2020,01:00,249
13.02.2020,02:00,249
13.02.2020,03:00,249
13.02.2020,04:00,249
13.02.2020,05:00,250
13.02.2020,06:00,251
13.02.2020,07:00,250
13.02.2020,08:00,250
13.02.2020,09:00,248
13.02.2020,10:00,247
13.02.2020,11:00,245
13.02.2020,12:00,244
