Datum,Uhrzeit,Generation_DE PSS A[MW],Generation_DE PSS C[MW],Generation_DE PSS D[MW],Generation_DE PSS B[MW]
27.01.2020,09:00,253,258,249,261
27.01.2020,10:00,50,2,0,2
27.01.2020,11:00,78,0,0,0
27.01.2020,12:00,78,0,0,0
27.01.2020,13:00,182,0,0,0
27.01.2020,14:00,97,2,0,0
27.01.2020,15:00,209,233,206,235
27.01.2020,16:00,243,247,239,249
27.01.2020,17:00,280,263,279,267
27.01.2020,18:00,270,245,268,248
27.01.2020,19:00,262,243,259,246
27.01.2020,20:00,229,232,43,233
27.01.2020,21:00,53,0,0,0
27.01.2020,22:00,105,0,0,0
27.01.2020,23:00,1,0,0,0
28.01.2020,00:00,0,0,0,0
28.01.2020,01:00,0,0,0,0
28.01.2020,02:00,0,0,0,0
28.01.2020,03:00,0,0,0,0
28.01.2020,04:00,0,0,0,0
28.01.2020,05:00,0,0,0,0
28.01.2020,06:00,46,40,45,0
28.01.2020,07:00,251,255,249,258
28.01.2020,08:00,264,246,262,249
28.01.2020,09:00,273,265,273,268
28.01.2020,10:00,265,246,263,249
28.01.2020,11:00,179,198,176,201
28.01.2020,12:00,1,1,98,0
28.01.2020,13:00,72,0,23,0
28.01.2020,14:00,67,0,0,0
28.01.2020,15:00,105,0,0,0
28.01.2020,16:00,132,0,0,0
28.01.2020,17:00,117,0,0,0
28.01.2020,18:00,88,0,0,0
28.01.2020,19:00,112,0,0,0
28.01.2020,20:00,1,0,0,0
28.01.2020,21:00,0,0,0,0
28.01.2020,22:00,0,0,0,0
28.01.2020,23:00,0,0,0,0
29.01.2020,00:00,0,0,0,0
29.01.2020,01:00,0,0,0,0
29.01.2020,02:00,0,0,0,0
29.01.2020,03:00,0,0,0,0
29.01.2020,04:00,0,0,0,0
29.01.2020,05:00,0,0,0,0
29.01.2020,06:00,12,0,0,0
29.01.2020,07:00,135,129,91,216
29.01.2020,08:00,203,233,201,235
29.01.2020,09:00,177,222,175,224
29.01.2020,10:00,130,52,1,52
29.01.2020,11:00,27,0,0,0
29.01.2020,12:00,0,0,0,0
29.01.2020,13:00,0,0,0,0
29.01.2020,14:00,0,0,0,0
29.01.2020,15:00,82,0,0,0
29.01.2020,16:00,164,45,0,103
29.01.2020,17:00,271,258,269,260
29.01.2020,18:00,248,248,245,251
29.01.2020,19:00,235,246,190,248
29.01.2020,20:00,126,112,0,169
29.01.2020,21:00,46,0,0,0
29.01.2020,22:00,101,0,0,59
29.01.2020,23:00,1,0,0,0
30.01.2020,00:00,0,0,0,0
30.01.2020,01:00,0,0,0,0
30.01.2020,02:00,0,0,0,0
30.01.2020,03:00,0,0,0,0
30.01.2020,04:00,0,0,0,0
30.01.2020,05:00,0,0,0,0
30.01.2020,06:00,0,0,0,0
30.01.2020,07:00,45,60,49,60
30.01.2020,08:00,184,236,181,238
30.01.2020,09:00,157,4,23,39
30.01.2020,10:00,73,0,1,0
30.01.2020,11:00,76,0,0,0
30.01.2020,12:00,123,0,0,0
30.01.2020,13:00,141,2,0,0
30.01.2020,14:00,243,250,239,253
30.01.2020,15:00,240,245,237,248
30.01.2020,16:00,207,232,205,234
30.01.2020,17:00,251,243,247,246
30.01.2020,18:00,226,228,223,231
