Datum,Uhrzeit,Generation_DE GKN II[MW]
27.01.2020,20:00,1306
27.01.2020,21:00,1305
27.01.2020,22:00,1308
27.01.2020,23:00,1307
28.01.2020,00:00,1312
28.01.2020,01:00,1313
28.01.2020,02:00,1313
28.01.2020,03:00,1294
28.01.2020,04:00,1103
28.01.2020,05:00,1266
28.01.2020,06:00,1312
28.01.2020,07:00,1314
28.01.2020,08:00,1314
28.01.2020,09:00,1312
28.01.2020,10:00,1314
28.01.2020,11:00,1315
28.01.2020,12:00,1314
28.01.2020,13:00,1314
28.01.2020,14:00,1316
28.01.2020,15:00,1316
28.01.2020,16:00,1315
28.01.2020,17:00,1315
28.01.2020,18:00,1314
28.01.2020,19:00,1314
28.01.2020,20:00,1314
28.01.2020,21:00,1315
28.01.2020,22:00,1316
28.01.2020,23:00,1315
29.01.2020,00:00,1315
29.01.2020,01:00,1315
29.01.2020,02:00,1314
29.01.2020,03:00,1314
29.01.2020,04:00,1312
29.01.2020,05:00,1311
29.01.2020,06:00,1311
29.01.2020,07:00,1310
29.01.2020,08:00,1310
29.01.2020,09:00,1312
29.01.2020,10:00,1310
29.01.2020,11:00,1311
29.01.2020,12:00,1312
29.01.2020,13:00,1311
29.01.2020,14:00,1312
29.01.2020,15:00,1313
29.01.2020,16:00,1313
29.01.2020,17:00,1312
29.01.2020,18:00,1313
29.01.2020,19:00,1313
29.01.2020,20:00,1312
29.01.2020,21:00,1312
29.01.2020,22:00,1314
29.01.2020,23:00,1311
30.01.2020,00:00,1314
30.01.2020,01:00,1313
30.01.2020,02:00,1313
30.01.2020,03:00,1313
30.01.2020,04:00,1313
30.01.2020,05:00,1314
30.01.2020,06:00,1314
30.01.2020,07:00,1313
30.01.2020,08:00,1311
30.01.2020,09:00,1311
30.01.2020,10:00,1311
30.01.2020,11:00,1311
30.01.2020,12:00,1311
30.01.2020,13:00,1312
30.01.2020,14:00,1311
30.01.2020,15:00,1311
30.01.2020,16:00,1311
30.01.2020,17:00,1311
30.01.2020,18:00,1313
30.01.2020,19:00,1313
30.01.2020,20:00,1313
30.01.2020,21:00,1311
30.01.2020,22:00,1222
30.01.2020,23:00,821
31.01.2020,00:00,829
31.01.2020,01:00,815
31.01.2020,02:00,793
31.01.2020,03:00,793
31.01.2020,04:00,793
31.01.2020,05:00,993
31.01.2020,06:00,1285
31.01.2020,07:00,1292
31.01.2020,08:00,1293
31.01.2020,09:00,1302
31.01.2020,10:00,1302
31.01.2020,11:00,1302
31.01.2020,12:00,1301
31.01.2020,13:00,1303
31.01.2020,14:00,1304
31.01.2020,15:00,1303
31.01.2020,16:00,1303
31.01.2020,17:00,1297
31.01.2020,18:00,1298
31.01.2020,19:00,1300
31.01.2020,20:00,1301
31.01.2020,21:00,1300
31.01.2020,22:00,1301
31.01.2020,23:00,1298
01.02.2020,00:00,1019
01.02.2020,01:00,892
01.02.2020,02:00,890
01.02.2020,03:00,892
01.02.2020,04:00,893
01.02.2020,05:00,892
01.02.2020,06:00,892
01.02.2020,07:00,892
01.02.2020,08:00,892
01.02.2020,09:00,1176
01.02.2020,10:00,1276
01.02.2020,11:00,896
01.02.2020,12:00,854
01.02.2020,13:00,853
01.02.2020,14:00,853
01.02.2020,15:00,1164
01.02.2020,16:00,1297
01.02.2020,17:00,1296
01.02.2020,18:00,1297
01.02.2020,19:00,1297
01.02.2020,20:00,1207
01.02.2020,21:00,1011
01.02.2020,22:00,1010
01.02.2020,23:00,900
02.02.2020,00:00,802
02.02.2020,01:00,801
02.02.2020,02:00,801
02.02.2020,03:00,802
02.02.2020,04:00,801
02.02.2020,05:00,802
02.02.2020,06:00,1080
02.02.2020,07:00,1209
02.02.2020,08:00,1298
02.02.2020,09:00,1307
02.02.2020,10:00,1307
02.02.2020,11:00,1304
02.02.2020,12:00,1303
02.02.2020,13:00,1303
02.02.2020,14:00,1302
02.02.2020,15:00,1298
02.02.2020,16:00,1297
02.02.2020,17:00,1297
02.02.2020,18:00,1297
02.02.2020,19:00,1298
02.02.2020,20:00,1299
02.02.2020,21:00,1300
02.02.2020,22:00,1302
02.02.2020,23:00,1305
03.02.2020,00:00,1302
03.02.2020,01:00,1302
03.02.2020,02:00,1303
03.02.2020,03:00,1303
03.02.2020,04:00,1304
03.02.2020,05:00,1304
03.02.2020,06:00,1303
03.02.2020,07:00,1304
03.02.2020,08:00,1303
03.02.2020,09:00,1302
03.02.2020,10:00,1304
03.02.2020,11:00,1302
03.02.2020,12:00,1301
03.02.2020,13:00,1300
03.02.2020,14:00,1303
03.02.2020,15:00,1303
03.02.2020,16:00,1304
03.02.2020,17:00,1302
03.02.2020,18:00,1303
03.02.2020,19:00,1303
03.02.2020,20:00,1303
03.02.2020,21:00,1303
03.02.2020,22:00,1302
03.02.2020,23:00,1301
04.02.2020,00:00,1302
04.02.2020,01:00,1300
04.02.2020,02:00,1302
04.02.2020,03:00,1301
04.02.2020,04:00,1301
04.02.2020,05:00,1302
04.02.2020,06:00,1305
04.02.2020,07:00,1308
04.02.2020,08:00,1309
04.02.2020,09:00,1310
04.02.2020,10:00,1308
04.02.2020,11:00,1308
04.02.2020,12:00,1309
04.02.2020,13:00,1310
04.02.2020,14:00,1312
04.02.2020,15:00,1311
04.02.2020,16:00,1308
04.02.2020,17:00,1308
04.02.2020,18:00,1309
04.02.2020,19:00,1309
04.02.2020,20:00,1309
04.02.2020,21:00,1307
04.02.2020,22:00,1308
04.02.2020,23:00,1305
05.02.2020,00:00,1312
05.02.2020,01:00,1313
05.02.2020,02:00,1313
05.02.2020,03:00,1313
05.02.2020,04:00,1313
05.02.2020,05:00,1313
05.02.2020,06:00,1313
05.02.2020,07:00,1311
05.02.2020,08:00,1310
05.02.2020,09:00,1312
05.02.2020,10:00,1312
05.02.2020,11:00,1313
05.02.2020,12:00,1313
05.02.2020,13:00,1313
05.02.2020,14:00,1313
05.02.2020,15:00,1313
05.02.2020,16:00,1312
05.02.2020,17:00,1310
05.02.2020,18:00,1313
05.02.2020,19:00,1315
