Datum,Uhrzeit,Generation_DE B[MW],Generation_DE A[MW]
29.01.2020,05:00,31,282
29.01.2020,06:00,196,251
29.01.2020,07:00,228,206
29.01.2020,08:00,236,206
29.01.2020,09:00,238,199
29.01.2020,10:00,233,215
29.01.2020,11:00,208,256
29.01.2020,12:00,193,259
29.01.2020,13:00,217,222
29.01.2020,14:00,213,219
29.01.2020,15:00,215,216
29.01.2020,16:00,216,220
29.01.2020,17:00,218,213
29.01.2020,18:00,285,229
29.01.2020,19:00,226,215
29.01.2020,20:00,249,222
29.01.2020,21:00,234,237
29.01.2020,22:00,217,223
29.01.2020,23:00,216,225
30.01.2020,00:00,215,225
30.01.2020,01:00,214,226
30.01.2020,02:00,215,221
30.01.2020,03:00,217,220
30.01.2020,04:00,218,219
30.01.2020,05:00,217,217
30.01.2020,06:00,225,215
30.01.2020,07:00,225,213
30.01.2020,08:00,224,224
30.01.2020,09:00,225,219
30.01.2020,10:00,222,218
30.01.2020,11:00,220,218
30.01.2020,12:00,220,219
30.01.2020,13:00,223,220
30.01.2020,14:00,221,219
30.01.2020,15:00,221,219
30.01.2020,16:00,218,214
30.01.2020,17:00,222,214
30.01.2020,18:00,221,210
30.01.2020,19:00,220,211
30.01.2020,20:00,221,211
30.01.2020,21:00,222,249
30.01.2020,22:00,222,252
30.01.2020,23:00,220,251
31.01.2020,00:00,217,251
31.01.2020,01:00,220,251
31.01.2020,02:00,219,250
31.01.2020,03:00,219,251
31.01.2020,04:00,221,251
31.01.2020,05:00,220,251
31.01.2020,06:00,222,251
31.01.2020,07:00,222,251
31.01.2020,08:00,221,251
31.01.2020,09:00,220,251
31.01.2020,10:00,221,252
31.01.2020,11:00,234,243
31.01.2020,12:00,241,242
31.01.2020,13:00,228,241
31.01.2020,14:00,230,244
31.01.2020,15:00,229,244
31.01.2020,16:00,230,244
31.01.2020,17:00,231,242
31.01.2020,18:00,227,244
31.01.2020,19:00,232,244
31.01.2020,20:00,229,243
31.01.2020,21:00,232,244
31.01.2020,22:00,230,243
31.01.2020,23:00,238,247
01.02.2020,00:00,233,223
01.02.2020,01:00,218,0
01.02.2020,02:00,188,0
01.02.2020,03:00,180,0
01.02.2020,04:00,182,0
01.02.2020,05:00,182,0
01.02.2020,06:00,180,0
01.02.2020,07:00,182,0
01.02.2020,08:00,180,0
01.02.2020,09:00,182,0
01.02.2020,10:00,184,0
01.02.2020,11:00,178,0
01.02.2020,12:00,166,0
01.02.2020,13:00,168,0
01.02.2020,14:00,167,0
01.02.2020,15:00,168,0
01.02.2020,16:00,167,0
01.02.2020,17:00,170,0
01.02.2020,18:00,167,0
01.02.2020,19:00,168,0
01.02.2020,20:00,168,0
01.02.2020,21:00,169,0
01.02.2020,22:00,168,0
01.02.2020,23:00,165,0
02.02.2020,00:00,166,0
02.02.2020,01:00,211,0
02.02.2020,02:00,217,0
02.02.2020,03:00,216,0
02.02.2020,04:00,218,0
02.02.2020,05:00,218,0
02.02.2020,06:00,203,0
02.02.2020,07:00,161,0
02.02.2020,08:00,154,0
02.02.2020,09:00,158,0
02.02.2020,10:00,152,0
02.02.2020,11:00,153,0
02.02.2020,12:00,151,0
02.02.2020,13:00,151,0
02.02.2020,14:00,149,0
02.02.2020,15:00,148,0
