Datum,Uhrzeit,Generation_DE Walsum 10[MW],Generation_DE Walsum 9[MW],Generation_DE Walsum 7[MW]
30.01.2020,11:00,0,83,0
30.01.2020,12:00,0,82,0
30.01.2020,13:00,0,82,0
30.01.2020,14:00,0,83,0
30.01.2020,15:00,0,83,0
30.01.2020,16:00,0,82,0
30.01.2020,17:00,0,82,0
30.01.2020,18:00,0,83,0
30.01.2020,19:00,0,82,0
30.01.2020,20:00,0,82,0
30.01.2020,21:00,0,82,0
30.01.2020,22:00,0,83,0
30.01.2020,23:00,0,83,0
31.01.2020,00:00,0,82,0
31.01.2020,01:00,0,83,0
31.01.2020,02:00,0,83,0
31.01.2020,03:00,0,81,0
31.01.2020,04:00,0,84,0
31.01.2020,05:00,0,82,0
31.01.2020,06:00,0,90,0
31.01.2020,07:00,0,109,0
31.01.2020,08:00,0,90,0
31.01.2020,09:00,0,93,0
31.01.2020,10:00,0,80,0
31.01.2020,11:00,0,80,0
31.01.2020,12:00,0,78,0
31.01.2020,13:00,0,79,0
31.01.2020,14:00,0,78,0
31.01.2020,15:00,0,79,0
31.01.2020,16:00,0,84,0
31.01.2020,17:00,0,119,0
31.01.2020,18:00,0,86,0
31.01.2020,19:00,0,80,0
31.01.2020,20:00,0,81,0
31.01.2020,21:00,0,80,0
31.01.2020,22:00,0,84,0
31.01.2020,23:00,0,84,0
01.02.2020,00:00,0,85,0
01.02.2020,01:00,0,84,0
01.02.2020,02:00,0,83,0
01.02.2020,03:00,0,85,0
01.02.2020,04:00,0,86,0
01.02.2020,05:00,0,84,0
01.02.2020,06:00,0,83,0
01.02.2020,07:00,0,83,0
01.02.2020,08:00,0,84,0
01.02.2020,09:00,0,83,0
01.02.2020,10:00,0,84,0
01.02.2020,11:00,0,85,0
01.02.2020,12:00,0,84,0
01.02.2020,13:00,0,83,0
01.02.2020,14:00,0,82,0
01.02.2020,15:00,0,81,0
01.02.2020,16:00,0,81,0
01.02.2020,17:00,0,81,0
01.02.2020,18:00,0,88,0
01.02.2020,19:00,0,127,0
01.02.2020,20:00,0,94,0
01.02.2020,21:00,0,81,0
01.02.2020,22:00,0,84,0
01.02.2020,23:00,0,83,0
02.02.2020,00:00,0,83,0
02.02.2020,01:00,0,83,0
02.02.2020,02:00,0,83,0
02.02.2020,03:00,0,84,0
02.02.2020,04:00,0,82,0
02.02.2020,05:00,0,83,0
02.02.2020,06:00,0,83,0
02.02.2020,07:00,0,83,0
02.02.2020,08:00,0,83,0
02.02.2020,09:00,0,83,0
02.02.2020,10:00,0,83,0
02.02.2020,11:00,0,84,0
02.02.2020,12:00,0,94,0
02.02.2020,13:00,0,83,0
02.02.2020,14:00,0,83,0
02.02.2020,15:00,0,83,0
02.02.2020,16:00,0,84,0
02.02.2020,17:00,0,84,0
02.02.2020,18:00,0,83,0
02.02.2020,19:00,0,83,0
02.02.2020,20:00,0,84,0
02.02.2020,21:00,0,84,0
02.02.2020,22:00,0,83,0
02.02.2020,23:00,0,83,0
03.02.2020,00:00,0,84,0
03.02.2020,01:00,0,84,0
03.02.2020,02:00,0,83,0
03.02.2020,03:00,0,83,0
03.02.2020,04:00,0,83,0
03.02.2020,05:00,0,81,0
03.02.2020,06:00,0,82,0
03.02.2020,07:00,0,82,0
03.02.2020,08:00,0,81,0
