Datum,Uhrzeit,Generation_DE E[MW],Generation_DE D[MW],Generation_DE C[MW],Generation_DE F[MW],Generation_DE B[MW],Generation_DE A[MW]
21.01.2020,06:00,0,468,495,0,471,463
21.01.2020,07:00,0,472,493,0,469,481
21.01.2020,08:00,0,476,498,0,477,487
21.01.2020,09:00,0,474,496,0,476,486
21.01.2020,10:00,0,469,498,0,476,486
21.01.2020,11:00,0,469,497,0,478,488
21.01.2020,12:00,0,471,495,0,477,487
21.01.2020,13:00,0,472,497,0,479,489
21.01.2020,14:00,0,471,497,0,474,485
21.01.2020,15:00,0,475,497,0,475,484
21.01.2020,16:00,0,475,497,0,477,484
21.01.2020,17:00,0,475,498,0,478,486
21.01.2020,18:00,0,469,495,0,471,481
21.01.2020,19:00,0,476,497,0,475,487
21.01.2020,20:00,0,477,498,0,477,487
21.01.2020,21:00,0,468,497,0,476,436
21.01.2020,22:00,0,477,497,0,477,429
21.01.2020,23:00,0,474,495,0,475,429
22.01.2020,00:00,0,487,494,0,477,449
22.01.2020,01:00,0,493,492,0,474,494
22.01.2020,02:00,0,494,496,0,479,489
22.01.2020,03:00,0,496,499,0,476,492
22.01.2020,04:00,0,486,491,0,471,482
22.01.2020,05:00,0,491,495,0,474,492
22.01.2020,06:00,0,489,494,0,473,492
22.01.2020,07:00,0,496,499,0,476,496
22.01.2020,08:00,0,497,499,0,475,468
22.01.2020,09:00,0,496,498,0,476,481
22.01.2020,10:00,0,496,497,0,476,490
22.01.2020,11:00,0,495,497,0,475,490
22.01.2020,12:00,0,493,494,0,477,488
22.01.2020,13:00,0,494,497,0,477,489
22.01.2020,14:00,0,499,501,0,477,484
22.01.2020,15:00,0,502,502,0,471,487
22.01.2020,16:00,0,495,502,0,473,491
22.01.2020,17:00,0,494,501,0,467,494
22.01.2020,18:00,0,496,491,0,465,491
22.01.2020,19:00,0,500,501,0,465,489
22.01.2020,20:00,0,500,501,0,461,486
22.01.2020,21:00,0,500,500,0,463,479
22.01.2020,22:00,0,501,500,0,463,479
22.01.2020,23:00,0,500,499,0,457,458
23.01.2020,00:00,0,498,499,0,456,454
23.01.2020,01:00,0,497,499,0,459,453
23.01.2020,02:00,0,495,498,0,460,453
23.01.2020,03:00,0,493,496,0,453,456
23.01.2020,04:00,0,486,494,0,459,474
23.01.2020,05:00,0,484,491,0,459,474
23.01.2020,06:00,0,485,490,0,463,482
23.01.2020,07:00,0,481,489,0,464,486
23.01.2020,08:00,0,489,489,0,477,493
23.01.2020,09:00,0,489,490,0,477,496
23.01.2020,10:00,0,491,490,0,479,498
23.01.2020,11:00,0,494,490,0,480,497
23.01.2020,12:00,0,486,491,0,475,493
23.01.2020,13:00,0,493,497,0,479,497
23.01.2020,14:00,0,499,496,0,478,499
23.01.2020,15:00,0,498,495,0,478,497
23.01.2020,16:00,0,499,495,0,478,499
23.01.2020,17:00,0,499,495,0,477,498
23.01.2020,18:00,0,496,495,0,477,499
23.01.2020,19:00,0,495,492,0,477,497
23.01.2020,20:00,0,499,494,0,479,496
23.01.2020,21:00,0,499,494,0,479,498
23.01.2020,22:00,0,494,491,0,476,497
23.01.2020,23:00,0,496,493,0,477,494
24.01.2020,00:00,0,494,490,0,473,491
24.01.2020,01:00,0,496,492,0,478,486
24.01.2020,02:00,0,494,489,0,476,478
24.01.2020,03:00,0,454,479,0,454,315
24.01.2020,04:00,0,493,489,0,470,229
24.01.2020,05:00,0,490,493,0,470,224
24.01.2020,06:00,0,487,488,0,464,224
24.01.2020,07:00,0,495,493,0,469,227
24.01.2020,08:00,0,495,497,0,473,229
24.01.2020,09:00,0,495,497,0,474,227
24.01.2020,10:00,0,495,498,0,475,227
24.01.2020,11:00,0,496,498,0,477,229
24.01.2020,12:00,0,495,498,0,475,229
24.01.2020,13:00,0,496,498,0,477,231
24.01.2020,14:00,0,495,499,0,477,231
24.01.2020,15:00,0,496,499,0,476,232
24.01.2020,16:00,0,496,499,0,476,230
24.01.2020,17:00,0,495,498,0,474,229
24.01.2020,18:00,0,486,499,0,475,229
24.01.2020,19:00,0,498,500,0,474,229
24.01.2020,20:00,0,498,499,0,476,230
24.01.2020,21:00,0,495,494,0,475,230
24.01.2020,22:00,0,494,492,0,475,231
24.01.2020,23:00,0,495,499,0,475,224
25.01.2020,00:00,0,496,499,0,473,230
25.01.2020,01:00,0,495,498,0,475,230
25.01.2020,02:00,0,494,497,0,474,230
25.01.2020,03:00,0,494,496,0,472,230
25.01.2020,04:00,0,498,499,0,474,228
25.01.2020,05:00,0,494,496,0,468,227
25.01.2020,06:00,0,491,494,0,466,230
25.01.2020,07:00,0,490,492,0,465,230
25.01.2020,08:00,0,497,498,0,473,225
25.01.2020,09:00,0,495,499,0,477,230
25.01.2020,10:00,0,497,500,0,476,227
25.01.2020,11:00,0,497,499,0,478,233
