Datum,Uhrzeit,Generation_DE KBR[MW]
07.02.2020,03:00,1327
07.02.2020,04:00,1327
07.02.2020,05:00,1327
07.02.2020,06:00,1327
07.02.2020,07:00,1326
07.02.2020,08:00,1326
07.02.2020,09:00,1327
07.02.2020,10:00,1327
07.02.2020,11:00,1327
07.02.2020,12:00,1327
07.02.2020,13:00,1328
07.02.2020,14:00,1328
07.02.2020,15:00,1327
07.02.2020,16:00,1327
07.02.2020,17:00,1327
07.02.2020,18:00,1326
07.02.2020,19:00,1326
07.02.2020,20:00,1326
07.02.2020,21:00,1327
07.02.2020,22:00,1327
07.02.2020,23:00,1327
08.02.2020,00:00,1224
08.02.2020,01:00,1093
08.02.2020,02:00,1073
08.02.2020,03:00,1073
08.02.2020,04:00,1075
08.02.2020,05:00,1193
08.02.2020,06:00,1312
08.02.2020,07:00,1324
08.02.2020,08:00,1324
08.02.2020,09:00,1325
08.02.2020,10:00,1325
08.02.2020,11:00,1326
08.02.2020,12:00,1326
08.02.2020,13:00,1326
08.02.2020,14:00,1327
08.02.2020,15:00,1327
08.02.2020,16:00,1325
08.02.2020,17:00,1325
08.02.2020,18:00,1325
08.02.2020,19:00,1324
08.02.2020,20:00,1324
08.02.2020,21:00,1324
08.02.2020,22:00,1325
08.02.2020,23:00,1323
09.02.2020,00:00,1225
09.02.2020,01:00,1216
09.02.2020,02:00,1228
09.02.2020,03:00,1168
09.02.2020,04:00,1072
09.02.2020,05:00,1095
09.02.2020,06:00,1032
09.02.2020,07:00,930
09.02.2020,08:00,877
09.02.2020,09:00,877
09.02.2020,10:00,877
09.02.2020,11:00,872
09.02.2020,12:00,870
09.02.2020,13:00,870
09.02.2020,14:00,870
09.02.2020,15:00,898
09.02.2020,16:00,956
09.02.2020,17:00,958
09.02.2020,18:00,972
09.02.2020,19:00,900
09.02.2020,20:00,930
09.02.2020,21:00,995
09.02.2020,22:00,1048
09.02.2020,23:00,1109
10.02.2020,00:00,1123
10.02.2020,01:00,967
10.02.2020,02:00,925
10.02.2020,03:00,940
10.02.2020,04:00,989
10.02.2020,05:00,1119
10.02.2020,06:00,1195
10.02.2020,07:00,1223
10.02.2020,08:00,1234
10.02.2020,09:00,1172
10.02.2020,10:00,989
10.02.2020,11:00,939
10.02.2020,12:00,937
10.02.2020,13:00,940
10.02.2020,14:00,940
10.02.2020,15:00,940
10.02.2020,16:00,939
10.02.2020,17:00,940
10.02.2020,18:00,939
10.02.2020,19:00,937
10.02.2020,20:00,938
10.02.2020,21:00,937
10.02.2020,22:00,938
10.02.2020,23:00,936
11.02.2020,00:00,929
11.02.2020,01:00,898
11.02.2020,02:00,917
11.02.2020,03:00,942
11.02.2020,04:00,988
11.02.2020,05:00,998
11.02.2020,06:00,918
11.02.2020,07:00,929
11.02.2020,08:00,935
11.02.2020,09:00,938
11.02.2020,10:00,938
11.02.2020,11:00,925
11.02.2020,12:00,865
11.02.2020,13:00,908
11.02.2020,14:00,912
11.02.2020,15:00,933
