Datum,Uhrzeit,Generation_DE Block 2 Tiefstack[MW],Generation_DE Gas0und0Dampfturbinen Tiefstack[MW]
30.01.2020,08:00,134,0
30.01.2020,09:00,144,0
30.01.2020,10:00,145,0
30.01.2020,11:00,146,0
30.01.2020,12:00,147,0
30.01.2020,13:00,148,0
30.01.2020,14:00,149,0
30.01.2020,15:00,149,0
30.01.2020,16:00,148,0
30.01.2020,17:00,110,0
30.01.2020,18:00,146,0
30.01.2020,19:00,144,0
30.01.2020,20:00,142,0
30.01.2020,21:00,143,0
30.01.2020,22:00,142,0
30.01.2020,23:00,140,0
31.01.2020,00:00,64,0
31.01.2020,01:00,64,0
31.01.2020,02:00,66,0
31.01.2020,03:00,68,0
31.01.2020,04:00,60,0
31.01.2020,05:00,97,0
31.01.2020,06:00,144,0
31.01.2020,07:00,155,0
31.01.2020,08:00,153,0
31.01.2020,09:00,151,0
31.01.2020,10:00,152,0
31.01.2020,11:00,154,0
31.01.2020,12:00,156,0
31.01.2020,13:00,154,0
31.01.2020,14:00,145,0
31.01.2020,15:00,144,0
31.01.2020,16:00,145,0
31.01.2020,17:00,144,0
31.01.2020,18:00,144,0
31.01.2020,19:00,144,0
31.01.2020,20:00,144,0
31.01.2020,21:00,146,0
31.01.2020,22:00,149,0
31.01.2020,23:00,140,0
01.02.2020,00:00,82,0
01.02.2020,01:00,55,0
01.02.2020,02:00,57,0
01.02.2020,03:00,59,0
01.02.2020,04:00,57,0
01.02.2020,05:00,65,0
01.02.2020,06:00,62,0
01.02.2020,07:00,62,0
01.02.2020,08:00,64,0
01.02.2020,09:00,63,0
01.02.2020,10:00,55,0
01.02.2020,11:00,56,0
01.02.2020,12:00,63,0
01.02.2020,13:00,65,0
01.02.2020,14:00,57,0
01.02.2020,15:00,59,0
01.02.2020,16:00,69,0
01.02.2020,17:00,67,0
01.02.2020,18:00,57,0
01.02.2020,19:00,64,0
01.02.2020,20:00,55,0
01.02.2020,21:00,56,0
01.02.2020,22:00,58,0
01.02.2020,23:00,55,0
02.02.2020,00:00,57,0
02.02.2020,01:00,60,0
02.02.2020,02:00,60,0
02.02.2020,03:00,59,0
02.02.2020,04:00,60,0
02.02.2020,05:00,61,0
02.02.2020,06:00,64,0
02.02.2020,07:00,82,0
02.02.2020,08:00,136,0
02.02.2020,09:00,145,0
02.02.2020,10:00,148,0
02.02.2020,11:00,150,0
02.02.2020,12:00,149,0
02.02.2020,13:00,148,0
02.02.2020,14:00,149,0
02.02.2020,15:00,148,0
02.02.2020,16:00,151,0
02.02.2020,17:00,148,0
02.02.2020,18:00,147,0
02.02.2020,19:00,146,0
02.02.2020,20:00,146,0
02.02.2020,21:00,149,0
02.02.2020,22:00,146,0
02.02.2020,23:00,143,0
03.02.2020,00:00,144,0
03.02.2020,01:00,143,0
03.02.2020,02:00,145,0
03.02.2020,03:00,144,0
03.02.2020,04:00,144,0
03.02.2020,05:00,144,0
03.02.2020,06:00,143,0
03.02.2020,07:00,143,0
03.02.2020,08:00,143,0
03.02.2020,09:00,145,0
03.02.2020,10:00,144,0
03.02.2020,11:00,145,0
03.02.2020,12:00,142,0
03.02.2020,13:00,144,0
03.02.2020,14:00,144,0
03.02.2020,15:00,145,0
03.02.2020,16:00,145,0
03.02.2020,17:00,144,0
03.02.2020,18:00,147,0
03.02.2020,19:00,147,0
03.02.2020,20:00,148,0
03.02.2020,21:00,153,0
03.02.2020,22:00,147,0
03.02.2020,23:00,146,0
04.02.2020,00:00,146,0
04.02.2020,01:00,147,0
04.02.2020,02:00,148,0
04.02.2020,03:00,146,0
04.02.2020,04:00,145,0
04.02.2020,05:00,146,0
04.02.2020,06:00,149,0
04.02.2020,07:00,145,0
04.02.2020,08:00,144,0
04.02.2020,09:00,144,0
04.02.2020,10:00,144,0
04.02.2020,11:00,145,0
04.02.2020,12:00,142,0
04.02.2020,13:00,145,0
04.02.2020,14:00,145,0
04.02.2020,15:00,146,0
04.02.2020,16:00,146,0
04.02.2020,17:00,145,0
04.02.2020,18:00,146,0
04.02.2020,19:00,144,0
04.02.2020,20:00,145,0
04.02.2020,21:00,147,0
04.02.2020,22:00,144,0
04.02.2020,23:00,143,0
05.02.2020,00:00,149,0
05.02.2020,01:00,145,0
05.02.2020,02:00,145,0
05.02.2020,03:00,144,0
05.02.2020,04:00,143,0
05.02.2020,05:00,144,0
05.02.2020,06:00,144,0
05.02.2020,07:00,145,0
05.02.2020,08:00,144,0
05.02.2020,09:00,146,0
05.02.2020,10:00,146,0
05.02.2020,11:00,144,0
05.02.2020,12:00,146,0
05.02.2020,13:00,138,0
05.02.2020,14:00,129,0
05.02.2020,15:00,139,0
05.02.2020,16:00,144,0
05.02.2020,17:00,143,0
05.02.2020,18:00,144,0
05.02.2020,19:00,147,0
05.02.2020,20:00,148,0
05.02.2020,21:00,147,0
05.02.2020,22:00,152,0
05.02.2020,23:00,135,0
06.02.2020,00:00,131,0
06.02.2020,01:00,131,0
06.02.2020,02:00,132,0
06.02.2020,03:00,134,0
06.02.2020,04:00,136,0
06.02.2020,05:00,142,0
06.02.2020,06:00,145,0
06.02.2020,07:00,152,0
06.02.2020,08:00,147,0
06.02.2020,09:00,145,0
06.02.2020,10:00,149,0
06.02.2020,11:00,149,0
06.02.2020,12:00,149,0
06.02.2020,13:00,145,0
06.02.2020,14:00,142,0
06.02.2020,15:00,142,0
06.02.2020,16:00,146,0
06.02.2020,17:00,146,0
06.02.2020,18:00,148,0
06.02.2020,19:00,150,0
06.02.2020,20:00,150,0
06.02.2020,21:00,145,0
06.02.2020,22:00,147,0
06.02.2020,23:00,136,0
07.02.2020,00:00,133,0
07.02.2020,01:00,134,0
07.02.2020,02:00,137,0
07.02.2020,03:00,136,0
07.02.2020,04:00,137,0
07.02.2020,05:00,139,0
07.02.2020,06:00,140,0
07.02.2020,07:00,136,0
07.02.2020,08:00,136,0
07.02.2020,09:00,137,0
07.02.2020,10:00,139,0
07.02.2020,11:00,136,0
07.02.2020,12:00,135,0
07.02.2020,13:00,89,0
07.02.2020,14:00,58,0
07.02.2020,15:00,60,0
07.02.2020,16:00,60,0
07.02.2020,17:00,59,0
07.02.2020,18:00,58,0
